location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Rumford, ME",Hezekiah Hutchins House,1840,Jonathan D. Poor,mural,Lipman,T,,,,,T,,,,,,,,,,,,,T,,,,,,,,,,T,T,T,,,,,T
"Portland, ME",Deacon John Bailey House,1827,Porter School,mural,Lipman,,,,,,T,,,,,,,,,,,,,T,,,,,,,,,,T,,T,,T,,,T
"Townsend, MA",Quincy Sylvester House,1830,Porter School,mural,Lefko,,,T,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,,,T
"Greenfield, NH",Squire Craigin House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,T,,,T,,,,,,T,,,,,,,,,,T
"Surry, NH",Haile House,1825,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westwood, MA",Storer Ware House,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,,,,,,,,,,,,,,T,,,T,,,,,,,,,T,,,,,,,,,,T
"Swansea, MA",Mason Barney House,1830,Porter School,mural,Lefko,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,T
"Lisbon, NH",Captain Thomas Dodge House,1810,Bears and Pears Artist,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durham, ME",Litchfield House,1830,E.J. Gilbert,mural,Lefko,,,,,T,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
"Norridgewock, ME",Joshua Gilmore House,1830,Quincy,mural,signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradford, NH",Joshua Eaton House,1824,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,,,,,,,,,,,,,,,,,,,T,,,,,,,,T,,,,,,,,T,T
"North Haverhill, NH",Daniel Carr House,1825,Porter School,mural,Lipman,,,,,,,,,,,T,,,,,,,,T,T,T,,T,,,,,,T,,,,,,,T
"East Peperell, MA",Coburn Tavern,1824,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmington, ME",Milton Gay House,1835,Jonathan D. Poor and Paine,mural,tradition,T,T,,,T,T,,,,,T,,,,,,,,,,,,,,,,,,,T,,,,T,,
"Sebec, ME",Ellerton Jette House,1824,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Reading, MA",Van Heusen Seventeenth-Century Farms,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lunenburg, MA",Faith Gardner House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,T,
"Harvard, MA",Fruitlands Museums,1830,Porter School,mural,Fruitlands Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topsham, VT",Elwin Chase House,1831,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
"Webster Corner, ME",Cushman Tavern,1830,Orison Wood,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
"Hancock, NH",Josiah Stone House,1825,Porter School,mural,Lipman,,,,T,,,T,,,,,,,T,,T,,,T,,,,,,,,,,,,T,,,,,T
"Winthrop, ME",Captain Samuel Benjamin House,1830,Porter School,mural,MSM,T,T,,,,,,,,,,,,,,,,,T,,,,T,,,T,,T,T,T,T,,T,,T,T
"Lyme, NH",Frederick Wagner House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollis Center, ME",Quillcote,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,T,,,
"North Parsonfield, ME",Curtis M. Sweat House,1830,Jonathan D. Poor and Paine,mural,signed,,T,,,,T,,,,,,,,,,T,,,,,,,,,,,,,T,T,,,T,,,
"East Weymouth, MA",Senigo House,1845,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Langdon, NH",Bidwell Tavern,1824,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
