town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Jonathan Batchelder House","c(-71.7679247046001, 42.7562910699025)",school
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Joseph Saunders House","c(-71.7745490538518, 42.7342610850474)",school
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Solomon Russell House","c(-71.8711169574543, 42.7242592178105)",school
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,NA,"58, 59","New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gardner Davis House","c(-71.8904706811115, 42.7371619152983)",school
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gould-Chickering House","c(-71.8756390900628, 42.7340821525828)",school
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,NA,"67, 68","North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Daniel Carr House","c(-72.0285965266309, 44.0763829199898)",school
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Harold Kimball House","c(-72.013141055352, 44.0881265548135)",school
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Leslie Lackie House","c(-72.0196949372257, 44.0975823333292)",school
Orford,NH,1824,Beale House,Porter School,mural,Lipman,NA,NA,"Orford, NH","<b> Orford, NH </b> <br> Porter School <br> Beale House","c(-72.1328611217631, 43.9071520200165)",school
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,NA,color plate 10,"Topsham, VT","<b> Topsham, VT </b> <br> Porter School <br> Elwin Chase House","c(-72.263226283937, 44.1407252506767)",school
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,"""images/colonel_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Colonel Jacob W. Watson","c(-71.8781378299162, 42.4414241675234)",portrait
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,"""images/lydia_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Lydia Watson","c(-71.8863298605463, 42.4418544058584)",portrait
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,"""images/jacob_davis.jpg""",NA,"Minot, ME","<b> Minot, ME </b> <br> Rufus Porter <br> Jacob Davis","c(-70.3536784518195, 44.1614707912228)",portrait
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,NA,color plate 13,"Winthrop, ME","<b> Winthrop, ME </b> <br> Porter School <br> Captain Samuel Benjamin House","c(-69.9800774813952, 44.3008065224675)",school
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,NA,NA,"Sturbridge, MA","<b> Sturbridge, MA </b> <br> Porter School <br> Oliver Wight House","c(-72.087950034949, 42.0981784313416)",school
